Name,Surname,Birthdate,Street Address,City,State,Zip,Phone,Interests,Photo
Jasper,Justice,1/7/1960,525 Auctor Road,Detroit,MI,13057,1 (481) 942-3869,"Footbag, Jigsaw Puzzles, Learning, Electronics, Sea Glass Collecting",men (11).jpg
Kiona,Kaufman,3/7/1960,"Ap #533 In, St.",Louisville,Kentucky,89456,1 (305) 850-6803,"Satellite Watching, Pottery, Video Gaming, Auto Racing, Sand Art, Baseball, Basketball",women (40).jpg
Miranda,Keith,12/27/1967,Ap #871 Etiam Avenue,Lafayette,LA,42724,1 (388) 637-1353,"Genealogy, Foreign Language Learning, People Watching, Tatting, Shopping, Comic Book Collecting",women (76).jpg
Neville,Kirby,1/17/1964,5066 Quis Road,Cedar Rapids,Iowa,67669,1 (109) 624-6076,"Rugby, Cheerleading, Jogging",men (85).jpg
Kelly,Klein,6/11/1980,"P.O. Box 553, 6741 Est. Rd.",Juneau,AK,99916,1 (174) 910-2998,"Flag Football, Shortwave Listening, Comic Book Collecting, Geocaching, Playing Musical Instruments, Skimboarding, Mushroom Hunting/Mycology",women (24).jpg
Chanda,Klein,10/20/1933,"P.O. Box 498, 2761 Ultricies Av.",Bellevue,NE,55082,1 (479) 320-6505,"Microscopy, Soapmaking, Field Hockey",women (76).jpg
Karleigh,Knox,5/5/1960,"P.O. Box 408, 4236 Leo. Ave",Nampa,Idaho,25013,1 (946) 349-6126,"Crochet, Pet, Scouting, Auto Racing, Figure Skating",women (13).jpg
Gareth,Landry,3/27/1988,Ap #556 Faucibus St.,Lincoln,Nebraska,69230,1 (727) 145-4171,"Cycling, Vacation, Table Football, Rugby",women (28).jpg
Phillip,Landry,8/22/1931,5724 Feugiat Avenue,Kapolei,HI,66646,1 (665) 725-5496,"Slacklining, Cryptography, Flower Collecting And Pressing",men (65).jpg
Sharon,Lane,8/5/1980,287 Aliquam Street,Tuscaloosa,AL,35022,1 (928) 533-6683,"Digital Arts, Knife Throwing, Dog Sport, Ghost Hunting",women (56).jpg
Ronan,Lang,1/28/1979,396 Donec Rd.,Rochester,MN,87316,1 (353) 557-2099,"Foreign Language Learning, Polo, Stone Collecting",women (44).jpg
Doris,Leach,12/24/1960,Ap #355 Justo. Street,Waterbury,Connecticut,92495,1 (769) 110-2764,"Bodybuilding, Bus Spotting, Shooting, Rock Balancing",men (51).jpg
Fleur,Leach,9/30/1982,Ap #709 Nibh Road,Carson City,NV,86662,1 (925) 509-7134,"Jukskei, Shortwave Listening, Dowsing, Crossword Puzzles, Knife Making, Hunting",men (31).jpg
Carter,Lewis,11/7/1962,5763 Elementum Rd.,Wichita,KS,19223,1 (121) 581-0805,"Rappelling, Lacemaking, Genealogy, Flower Collecting And Pressing, Golfing, Ice Skating, Vehicle Restoration",men (11).jpg
Flavia,Lindsey,11/23/1989,"P.O. Box 121, 2541 Tortor. Rd.",Oklahoma City,Oklahoma,11292,1 (129) 777-7374,"Exhibition Drill, Watching Television, Climbing, Orienteering",men (46).jpg
Merrill,Lloyd,1/14/1950,1344 Enim Ave,Hilo,HI,71399,1 (389) 396-8685,"Kitesurfing, Mineral Collecting, Bodybuilding, Sleeping",men (36).jpg
Derek,Lloyd,12/6/1950,3094 Maecenas Av.,Fort Smith,Arkansas,71095,1 (480) 838-8544,"Trainspotting, Netball, Satellite Watching, Shopping",men (9).jpg
Dawn,Long,2/4/1947,Ap #963 Sit St.,Indianapolis,IN,87011,1 (384) 118-7880,"Book Restoration, Table Tennis, Juggling, Baseball, Crochet",women (60).jpg
Buckminster,Lowery,4/3/1975,"P.O. Box 536, 3061 Aliquam Rd.",Anchorage,AK,99849,1 (890) 504-3987,"Astrology, Slacklining, Woodworking, Field Hockey, Glassblowing, Genealogy, Skimboarding",men (28).jpg
Tashya,Lynn,2/24/1987,Ap #806 Metus Road,San Jose,California,93103,1 (921) 685-2477,"Mineral Collecting, Walking, Reading, Archery, Flying, Fishing",men (47).jpg
Zahir,Lynn,4/21/1971,"3907 Quis, Rd.",Ketchikan,Alaska,99635,1 (424) 329-4945,"Macrame, Inline Skating, Ghost Hunting, Art Collecting",women (85).jpg
Sydney,Macdonald,9/5/1977,6836 Et Ave,Rockville,Maryland,76222,1 (470) 232-4397,"Meteorology, Jogging, Seashell Collecting, Writing, Airsoft",men (45).jpg
Magee,Maldonado,4/30/1965,Ap #987 Dolor. Avenue,College,AK,99980,1 (123) 749-9732,"Dancing, Magic, Photography, Skiing, Quilting, Vintage Cars, Record Collecting",men (21).jpg
Sopoline,Marquez,11/29/1971,"P.O. Box 295, 5108 Amet Street",Fairbanks,AK,99942,1 (142) 601-3680,"Hooping, Dowsing, Crossword Puzzles, Gymnastics, Fashion",men (54).jpg
Imelda,Martinez,9/6/1958,"P.O. Box 575, 2101 Ac St.",Hilo,Hawaii,36948,1 (104) 301-1360,"Sand Art, Model Building, Soapmaking, Do It Yourself, Urban Exploration, Meteorology",men (5).jpg
Camilla,Mccarty,10/16/1974,897 Adipiscing. Ave,Wilmington,DE,54183,1 (390) 719-1588,"Ice Hockey, Record Collecting, Soccer, Hunting, Comic Book Collecting, Rugby League Football",women (70).jpg
Blythe,Mcconnell,5/12/1978,"P.O. Box 711, 213 Fermentum Rd.",Butte,Montana,94963,1 (940) 323-7796,"People Watching, Rugby, Antiquities, Driving, Playing Musical Instruments, Skydiving",men (1).jpg
Georgia,Mccormick,4/15/1930,Ap #558 Tincidunt Rd.,San Antonio,Texas,29344,1 (717) 135-8387,"Comic Book Collecting, Letterboxing, Antiquing",men (40).jpg
Tatyana,Mcdonald,9/12/1990,623 Consectetuer St.,Racine,Wisconsin,60664,1 (375) 334-5959,"Sleeping, People Watching, Electronics, Handball, Vehicle Restoration, Dancing",men (33).jpg
Shannon,Mcfadden,11/20/1960,Ap #752 Non Street,Newark,DE,30445,1 (327) 208-3421,"Fantasy Sports, Water Sports, Skiing, Seashell Collecting, Aircraft Spotting, Puzzles",women (76).jpg
Dominic,Mckenzie,6/15/1931,440 Nunc Av.,Birmingham,Alabama,35813,1 (652) 523-9116,"Color Guard, Association Football, Do It Yourself, Paintball, Equestrianism",men (90).jpg
Hedwig,Melendez,5/26/1943,"106 Auctor, St.",Colchester,VT,15404,1 (676) 413-6744,"Snowboarding, Knife Making, Topiary, Crochet",women (19).jpg
Griffith,Melendez,12/15/1954,"3126 Amet, St.",Fairbanks,AK,99743,1 (716) 643-0792,"Reading, American Football, Fishing, Topiary, Model Aircraft, Bowling, Drama",men (80).jpg
Haviva,Meyer,12/23/1980,856 Tincidunt St.,Allentown,PA,82017,1 (529) 700-0590,"Disc Golf, Dog Sport, Homebrewing, Beekeeping, Dowsing, Paintball",men (16).jpg
Alexis,Meyers,6/5/1978,"P.O. Box 507, 7978 Elit Av.",Wyoming,Wyoming,64777,1 (610) 359-4903,"Parkour, Flying, Aircraft Spotting, Mountaineering, Racquetball",women (58).jpg
Aimee,Miller,10/31/1932,Ap #348 Sodales Road,Colchester,Vermont,95633,1 (336) 562-2445,"Lockpicking, Poi, Video Gaming, Magic, Yoga, Mushroom Hunting/Mycology",women (84).jpg
Alfreda,Miranda,6/28/1968,"P.O. Box 143, 1484 Amet St.",Kansas City,MO,43826,1 (516) 366-3080,"Cryptography, Puzzles, Trainspotting",men (1).jpg
Carl,Molina,10/2/1949,555 Nunc Avenue,Oklahoma City,Oklahoma,18308,1 (495) 913-0677,"Wikipedia Editing , Coffee Roasting, Speed Skating, Playing Musical Instruments, Slacklining, Racquetball, Vacation",men (39).jpg
Bianca,Moody,3/10/1951,Ap #420 Erat St.,Springfield,Illinois,95005,1 (321) 733-3087,"Ice Hockey, Road Biking, Whittling, Fencing, Ice Hockey, Knitting",women (66).jpg
Lucius,Mooney,9/9/1949,"P.O. Box 715, 7767 Tristique St.",Baton Rouge,Louisiana,28529,1 (147) 645-6926,"Writing, Skimboarding, Graffiti",men (42).jpg
Jamal,Morgan,4/23/1950,3304 Erat Rd.,Chandler,AZ,85369,1 (757) 680-7313,"Tennis, Herping, Shopping, Do It Yourself, Beekeeping, Triathlon, Book Collecting",women (2).jpg
Hermione,Morin,3/14/1978,Ap #714 Per Av.,Independence,Missouri,80128,1 (903) 225-5069,"Amateur Radio, People Watching, Bus Spotting, Vehicle Restoration, Mahjong, Rappelling, Knife Making",men (81).jpg
Sacha,Mosley,1/16/1935,Ap #338 Fusce St.,Great Falls,MT,73634,1 (839) 739-0508,"Acting, Skydiving, Beekeeping, Stamp Collecting, Freestyle Football, Knitting, Videophilia",men (17).jpg
Jessamine,Moss,4/14/1938,573 Neque Ave,New Haven,Connecticut,53504,1 (975) 383-9956,"Vehicle Restoration, Model Building, Sailing, Crochet, Driving",women (94).jpg
Wallace,Mueller,3/23/1933,Ap #994 Auctor Rd.,Waterbury,Connecticut,16949,1 (378) 138-0718,"Do It Yourself, Microscopy, Camping, Cosplaying, Ice Skating, Rugby, Lucid Dreaming",men (17).jpg
Howard,Munoz,8/7/1941,Ap #255 Nulla Rd.,Saint Paul,MN,40939,1 (518) 488-3798,"Archery, Dowsing, Geocaching",men (87).jpg
Tucker,Navarro,12/28/1934,Ap #471 Aliquam Rd.,Sterling Heights,MI,88539,1 (903) 649-1989,"Origami, Racquetball, Sea Glass Collecting",women (67).jpg
Allen,Nieves,1/26/1953,"P.O. Box 120, 771 Purus. Av.",Kailua,HI,31528,1 (408) 791-8710,"Rappelling, Crocheting, Amateur Astronomy, Table Tennis, Sculling Or Rowing",men (66).jpg
Camille,Nieves,2/6/1962,3372 Malesuada St.,Aurora,Illinois,17651,1 (487) 648-6378,"Scouting, Road Biking, Rock Climbing, Vacation, Kart Racing, Stamp Collecting",women (28).jpg
Rhonda,Nunez,6/21/1973,7048 Dictum Ave,Indianapolis,IN,84769,1 (599) 251-4188,"Jigsaw Puzzles, Singing, Pottery, Gunsmithing, Amateur Astronomy, Beekeeping",women (65).jpg
Raphael,Nunez,8/15/1979,"P.O. Box 376, 9040 Vulputate St.",Anchorage,AK,99681,1 (430) 720-8298,"Skydiving, Bowling, Dowsing",women (32).jpg
Aiko,Nunez,4/19/1934,135 Vel Avenue,Nashville,Tennessee,34470,1 (287) 610-4497,"Antiquing, Knapping, Color Guard",women (26).jpg
Noble,Obrien,12/27/1937,3627 Molestie St.,Gillette,Wyoming,60368,1 (597) 403-0867,"Foreign Language Learning, Meteorology, Foreign Language Learning, Footbag, Pigeon Racing",men (90).jpg
Kaitlin,Odom,4/30/1961,129 Aliquet Road,Hillsboro,Oregon,82325,1 (338) 320-5918,"Roller Derby, Acting, Kite Flying, Photography",women (43).jpg
Walker,Olson,7/11/1942,5408 Cursus Ave,Sioux City,IA,67331,1 (534) 812-4142,"Bodybuilding, Coin Collecting, Yo-Yoing, Baseball, Tatting",women (24).jpg
Nora,Oneil,1/27/1941,6397 Sed Ave,West Valley City,Utah,28523,1 (297) 947-3507,"Calligraphy, Lucid Dreaming, Video Gaming, Yo-Yoing, Meteorology, Rafting, Letterboxing",women (24).jpg
Jaquelyn,Orr,8/24/1954,"P.O. Box 596, 7537 Ullamcorper Avenue",Fresno,CA,93501,1 (637) 503-6147,"Taxidermy, Insect Collecting, Singing, Element Collecting, Creative Writing",men (29).jpg
Emerald,Osborne,8/11/1966,"P.O. Box 161, 4751 Praesent Avenue",Springfield,Massachusetts,76006,1 (372) 618-2221,"Foraging, Orienteering, Board Sports",men (17).jpg
Adele,Pace,6/7/1938,"748 Id, Av.",Birmingham,Alabama,36725,1 (359) 860-1286,"Curling, Stone Skipping, Go, Table Football",men (12).jpg
Hadassah,Pacheco,1/22/1946,"P.O. Box 887, 2220 Aenean Avenue",Akron,Ohio,57953,1 (521) 551-7510,"Color Guard, Art Collecting, Brazilian Jiu-Jitsu, Die-Cast Toy",men (15).jpg
Branden,Padilla,5/2/1988,"P.O. Box 697, 3045 Massa. St.",Virginia Beach,Virginia,85359,1 (156) 459-7867,"Taekwondo, Woodworking, Gaming, Vacation, Lockpicking",men (78).jpg
Willa,Palmer,1/12/1967,"P.O. Box 272, 1314 Vitae Av.",Kansas City,KS,26832,1 (587) 287-4624,"Ghost Hunting, Racquetball, Lacrosse, Darts, Rappelling",men (35).jpg
Kameko,Park,5/18/1980,6932 Sit Ave,Des Moines,IA,50993,1 (849) 519-9186,"Flower Arranging, Watching Television, Archery",women (13).jpg
Wesley,Parrish,6/28/1956,779 Volutpat. Rd.,Bellevue,Washington,78307,1 (737) 557-5568,"Insect Collecting, Horseback Riding, Meteorology, Lacrosse",men (45).jpg
Dieter,Parrish,11/17/1930,Ap #822 Orci. Av.,Pike Creek,DE,15585,1 (266) 856-3418,"Candle Making, Flower Arranging, Sleeping, Rappelling, Field Hockey",women (25).jpg
Chelsea,Payne,8/18/1981,2165 Ligula. Avenue,Tucson,AZ,86426,1 (556) 958-1502,"Fishing , Graffiti, Ice Skating, Bridge, Association Football, Antiquities",men (64).jpg
Brenden,Pennington,12/12/1940,Ap #932 Nec Road,Spokane,WA,30223,1 (439) 880-8448,"Climbing, Genealogy, Dog Sport, Rugby, Kart Racing",women (31).jpg
Hannah,Perez,4/23/1953,"545 Ultrices, Ave",Tulsa,OK,14688,1 (527) 876-4550,"Sleeping, Sailing, Ultimate Disc , Reading, Disc Golf",men (45).jpg
Rosalyn,Peters,4/11/1951,1224 Lacus. St.,Kailua,HI,74812,1 (411) 447-6792,"Jogging, Road Biking, Drawing, Skateboarding, Drawing",men (91).jpg
Kaseem,Phillips,6/19/1946,"P.O. Box 368, 5256 Porttitor Road",Gulfport,Mississippi,90527,1 (517) 985-9529,"Fossil Hunting, Coffee Roasting, Lapidary, Australian Rules Football, Lego Building, Judo",men (68).jpg
Xerxes,Phillips,8/10/1981,4249 Morbi Ave,North Las Vegas,NV,75340,1 (265) 279-4197,"Sculling Or Rowing, Letterboxing, Magic, Mushroom Hunting/Mycology, Tai Chi, Skimboarding, Candle Making",men (44).jpg
Caleb,Pickett,1/11/1973,"P.O. Box 182, 763 Vulputate Rd.",Bloomington,MN,25222,1 (389) 883-0372,"Yo-Yoing, Puzzles, Mineral Collecting, Dancing, Web Surfing",men (17).jpg
Lucas,Pope,9/2/1974,"326 Eu, Ave",Chesapeake,VA,93546,1 (800) 221-5670,"Base Jumping, Auto Racing, Birdwatching, Bus Spotting, Quilling, Motor Sports, Tai Chi",men (40).jpg
Wynter,Porter,2/28/1974,Ap #610 Lectus Rd.,Bear,DE,71666,1 (481) 772-9666,"Gaming, Running, Die-Cast Toy, Exhibition Drill, Rappelling, Gaming",men (21).jpg
Hedwig,Porter,2/5/1954,682 Suspendisse Rd.,Honolulu,Hawaii,51045,1 (853) 834-0586,"Gaming, Stone Skipping, Dancing, Hooping, Herping, Vintage Cars, Hunting",men (11).jpg
Graiden,Powell,12/6/1949,"P.O. Box 463, 2211 Diam Rd.",Kenosha,Wisconsin,68029,1 (181) 944-0114,"Tour Skating, Card Collecting, Curling, Microscopy, Antiquing, Judo",men (74).jpg
Keegan,Pratt,3/13/1931,614 Magna Avenue,Jackson,Mississippi,93706,1 (820) 973-3503,"Fishing, Book Collecting, Ice Skating",men (92).jpg
Shana,Price,4/23/1980,Ap #674 Aliquet. St.,Pike Creek,Delaware,29780,1 (493) 100-4649,"Origami, Archery, Cosplaying, Dog Sport, Calligraphy, Pigeon Racing",men (57).jpg
Griffith,Pruitt,5/29/1930,"P.O. Box 121, 386 Amet, Ave",Salt Lake City,Utah,16170,1 (643) 173-8268,"Comic Book Collecting, Rock Climbing, Vintage Cars, Water Sports, Macrame, Tai Chi, Auto Audiophilia",women (63).jpg
Wendy,Pugh,11/17/1940,"P.O. Box 715, 2298 Mauris Avenue",Broken Arrow,Oklahoma,67505,1 (650) 264-2401,"Topiary, Weightlifting, Larping, Pigeon Racing, Seashell Collecting, Card Collecting",men (84).jpg
Ingrid,Ramirez,7/31/1957,923 Sit Road,Dover,Delaware,42359,1 (828) 239-4532,"Birdwatching, Magic, Baseball",men (7).jpg
Patience,Ramsey,1/22/1946,2311 Primis Street,New Orleans,Louisiana,62133,1 (130) 905-9886,"Cooking, Meteorology, Cryptography, Cricket, Soapmaking, Fishing, Breakdancing",men (76).jpg
Jolie,Randall,7/23/1964,277 Convallis Street,Burlington,VT,95134,1 (817) 373-5374,"Topiary, Lucid Dreaming, Lacrosse, Lacemaking, Fossil Hunting, Triathlon",men (75).jpg
Jeanette,Randolph,2/20/1986,775 Euismod Avenue,Carson City,NV,41138,1 (511) 376-2345,"Skydiving, Dancing, Fantasy Sports, Badminton",women (1).jpg
Jael,Rasmussen,7/27/1972,7206 Nisi St.,Meridian,Idaho,46859,1 (708) 166-2887,"Creative Writing, Ultimate Disc , Swimming",women (48).jpg
Belle,Ray,5/12/1975,Ap #902 Tincidunt. Avenue,Minneapolis,Minnesota,94492,1 (707) 168-6643,"Shortwave Listening, Cryptography, Yoga, Hooping, Calligraphy, Volleyball",women (73).jpg
Ariana,Reese,12/11/1968,"P.O. Box 250, 440 Nonummy St.",Covington,Kentucky,85464,1 (436) 965-2568,"Glassblowing, Badminton, Topiary, Lacemaking, Sea Glass Collecting, Microscopy, Wood Carving",men (79).jpg
Theodore,Reid,4/9/1988,643 Blandit Rd.,Essex,Vermont,90288,1 (724) 773-2008,"Driving, Stand-Up Comedy, Parkour, Lacemaking, Table Tennis",men (45).jpg
Lani,Richard,9/23/1947,Ap #567 Mattis. Road,North Las Vegas,Nevada,62954,1 (744) 861-3113,"Brazilian Jiu-Jitsu, Poker, Yo-Yoing, Kitesurfing, Traveling, Scuba Diving, Do It Yourself",men (54).jpg
Uriel,Richards,7/24/1968,3988 Vulputate St.,Chattanooga,TN,87339,1 (259) 153-7618,"Badminton, Singing, Weightlifting, Driving, Kite Flying",men (48).jpg
Mari,Riggs,11/6/1982,"P.O. Box 928, 2064 Lacus. Avenue",Bozeman,MT,26323,1 (402) 892-9690,"Seashell Collecting, Association Football, Cycling",men (10).jpg
Charlotte,Riley,10/23/1972,"P.O. Box 457, 4930 Pellentesque. St.",Shreveport,Louisiana,67429,1 (822) 596-4591,"Curling, Juggling, Color Guard, Lapidary, Photography",women (58).jpg
Amelia,Rivas,8/14/1943,518 Consequat St.,Auburn,Maine,37930,1 (923) 669-2473,"Footbag, Model Building, Model Aircraft, Watching Television, Driving, Footbag",men (69).jpg
Ginger,Rivera,10/15/1944,4669 Ipsum Rd.,Allentown,Pennsylvania,79139,1 (258) 239-0308,"Jewelry Making, Knapping, Roller Skating, Lacrosse, Antiquities",men (58).jpg
Ariana,Rivera,12/3/1948,4518 Justo Av.,Topeka,Kansas,47557,1 (783) 700-9613,"Slacklining, Playing Musical Instruments, Hooping, Trainspotting",men (41).jpg
Adele,Roberson,10/4/1975,"P.O. Box 820, 9289 Blandit Av.",Tuscaloosa,Alabama,36535,1 (317) 161-5595,"People Watching, Flying Disc, Beach Volleyball, Letterboxing",men (31).jpg
Fatima,Romero,2/4/1954,247 Euismod Ave,Duluth,Minnesota,80452,1 (672) 145-0138,"Mountaineering, Videophilia, Rafting, Quilting",women (92).jpg
Callum,Rosales,5/6/1950,Ap #876 Amet Avenue,Gillette,WY,15710,1 (827) 884-3764,"Squash, Paintball, Skimboarding, Bus Spotting",men (52).jpg
Linda,Roth,1/9/1959,321 Leo. Road,Montgomery,AL,36348,1 (447) 542-6490,"Handball, Metalworking, Board Sports, Juggling, Calligraphy, Taekwondo, Video Game Collecting",women (11).jpg
Tanisha,Roy,3/1/1948,"P.O. Box 231, 2434 Malesuada Rd.",Lexington,KY,24746,1 (515) 840-2797,"Computer Programming, Horseback Riding, Chess, Whale Watching, Sculling Or Rowing",men (90).jpg
Slade,Ryan,5/24/1976,794 Ligula. Road,Fairbanks,Alaska,99544,1 (755) 605-9060,"Calligraphy, Cycling, Fantasy Sports, Table Football, Squash, Worldbuilding, Color Guard",men (53).jpg
Haley,Ryan,8/5/1948,224 Et Street,Chattanooga,Tennessee,60020,1 (325) 756-7430,"Fossil Hunting, Australian Rules Football, Knitting, Drawing, Woodworking, Vintage Cars",men (21).jpg
Henry,Salinas,12/28/1931,"P.O. Box 317, 8686 Tincidunt St.",Sterling Heights,MI,76834,1 (996) 837-5514,"Astrology, Roller Skating, Darts",women (19).jpg
Jamal,Salinas,6/9/1984,Ap #413 Ultrices. Rd.,Paradise,Nevada,96585,1 (597) 256-1495,"Hiking, Astrology, Kabaddi, Kayaking",women (89).jpg
Cairo,Salinas,5/17/1955,"Ap #206 Lobortis, Ave",Cincinnati,OH,96142,1 (557) 609-1086,"Die-Cast Toy, Freestyle Football, Inline Skating, Camping, Calligraphy, Quilling",men (26).jpg
Taylor,Sanchez,9/3/1956,Ap #182 Habitant Avenue,Duluth,MN,61338,1 (421) 548-6380,"Rock Climbing, Fashion, Stone Collecting, Kombucha Brewing, Pet",women (2).jpg
Indira,Santana,11/21/1969,Ap #323 Sem Avenue,Gulfport,MS,38856,1 (400) 612-2971,"Wikipedia Editing , Board Games, Drama, Coin Collecting, Machining",women (80).jpg
Hanna,Santiago,5/7/1959,506 Ornare Ave,Covington,Kentucky,93723,1 (220) 887-8112,"Dance, Worldbuilding, Homebrewing, Slacklining, Meteorology, Scuba Diving, Soccer",women (48).jpg
Veda,Santiago,11/12/1942,"P.O. Box 747, 8814 Tellus. Ave",Bridgeport,CT,69207,1 (191) 927-6441,"Slot Car Racing, Sculpting, Painting",men (11).jpg
Shea,Schmidt,7/26/1962,3243 Ornare Avenue,Topeka,Kansas,15347,1 (396) 772-1697,"Tatting, Acting, Knapping",men (3).jpg
Quinlan,Schmidt,9/20/1982,"P.O. Box 547, 908 In St.",Green Bay,Wisconsin,37789,1 (124) 222-6348,"Disc Golf, Disc Golf, Darts, Trainspotting, Letterboxing, Auto Audiophilia, Traveling",women (7).jpg
Xantha,Schultz,1/17/1931,8636 Etiam Street,Great Falls,Montana,23751,1 (560) 458-6821,"Metal Detecting, Orienteering, Archery, Horseback Riding, Vacation, Rugby, Lacrosse",men (82).jpg
Vanna,Sears,5/21/1945,"P.O. Box 898, 3066 Ipsum Ave",Springfield,MO,56450,1 (507) 932-5024,"Cryptography, Baseball, Scrapbooking, Baseball, Gardening",women (81).jpg
Margaret,Sears,2/1/1965,Ap #129 Ligula. Av.,Chattanooga,TN,99816,1 (554) 580-0132,"Comic Book Collecting, Golfing, Baton Twirling",men (31).jpg
Hermione,Shepherd,5/9/1956,632 Tempor Av.,Cheyenne,Wyoming,27938,1 (345) 967-7793,"Speed Skating, Badminton, Table Football, Do It Yourself",men (94).jpg
Lillith,Shepherd,4/19/1930,537 Scelerisque Road,Knoxville,Tennessee,58964,1 (329) 376-2453,"Sleeping, Dancing, Computer Programming",women (74).jpg
Quail,Sheppard,12/7/1984,"422 Odio, Ave",Bridgeport,Connecticut,78055,1 (341) 242-5800,"Lacrosse, Beach Volleyball, Photography, Videophilia, Jewelry Making, Radio-Controlled Car Racing, Breakdancing",men (67).jpg
Nicole,Sheppard,4/20/1970,"P.O. Box 751, 8319 Velit Street",Juneau,AK,99874,1 (757) 493-6653,"Rappelling, Radio-Controlled Car Racing, Element Collecting, Cabaret, Ice Skating",women (1).jpg
Sydney,Sherman,2/10/1964,"805 Id, Street",Reading,Pennsylvania,39900,1 (285) 569-6340,"Scouting, Knife Throwing, Gardening",men (49).jpg
Giselle,Small,12/9/1956,"P.O. Box 685, 175 Proin St.",South Burlington,VT,48613,1 (363) 694-0066,"Fossil Hunting, Inline Skating, Snowboarding, Coloring",women (8).jpg
Fritz,Smith,11/14/1939,"P.O. Box 672, 7624 A, St.",Tampa,FL,40718,1 (416) 691-7130,"Cosplaying, Kabaddi, Hunting, Australian Rules Football, Art Collecting",women (94).jpg
Larissa,Solis,3/9/1941,5477 A Rd.,Gaithersburg,MD,76048,1 (630) 458-3909,"Reading, Air Sports, Airsoft, Drawing, Cosplaying, Drama, Shooting Sport",men (27).jpg
Lynn,Spencer,5/27/1984,"P.O. Box 557, 4057 Gravida Ave",Wyoming,WY,62513,1 (128) 194-9409,"Model Building, Knife Throwing, Tai Chi, Bus Spotting",women (82).jpg
Josephine,Stafford,10/22/1974,Ap #733 Condimentum Av.,Salem,Oregon,55393,1 (842) 263-0360,"Lacemaking, Candle Making, Fashion",men (74).jpg
Dexter,Steele,9/8/1949,307 Velit St.,Anchorage,Alaska,99625,1 (647) 781-2397,"Model Aircraft, Sewing, Rugby, Soapmaking",women (56).jpg
Alfonso,Stein,11/14/1978,870 Enim St.,Kailua,HI,32220,1 (551) 632-7096,"Cheerleading, Singing, Sea Glass Collecting",men (58).jpg
Theodore,Talley,8/22/1945,"P.O. Box 686, 1787 Magna. Rd.",Saint Paul,MN,60570,1 (563) 570-0080,"Die-Cast Toy, Writing, Soccer",women (37).jpg
Kelsie,Tran,12/19/1956,"Ap #334 In, Ave",Springfield,IL,45856,1 (329) 966-8737,"Marbles, Gongoozling, Weightlifting, Graffiti",women (63).jpg
Tamara,Tucker,4/7/1974,965 Bibendum Rd.,Flint,MI,45591,1 (870) 711-3874,"Magic, Orienteering, Graffiti, Skiing, Bridge, Pottery, Nordic Skating",men (8).jpg
Cole,Tyler,7/6/1931,"P.O. Box 850, 5103 Adipiscing Avenue",Grand Island,NE,93146,1 (378) 421-4599,"Camping, Disc Golf, Volleyball, Magic, Surfing",women (7).jpg
Germane,Tyson,2/5/1975,428 Etiam Avenue,Idaho Falls,ID,16615,1 (583) 752-0584,"Mountain Biking, Art Collecting, Watching Television, Fossil Hunting, Coloring, Digital Arts",women (15).jpg
Chanda,Underwood,1/22/1950,Ap #101 Suspendisse Road,Evansville,IN,70575,1 (145) 657-6614,"People Watching, Kite Flying, Cabaret, Nordic Skating",men (42).jpg
Sarah,Vaughan,11/1/1965,"P.O. Box 252, 3483 Habitant Road",South Bend,IN,39399,1 (705) 774-6381,"Baseball, Web Surfing, Wood Carving, Glassblowing, Tai Chi, Playing Musical Instruments",men (89).jpg
Callie,Vazquez,12/19/1973,"5989 Nec, Ave",Vancouver,Washington,19123,1 (723) 608-8741,"Knife Making, Model Building, Flower Arranging, Animal Fancy, Jewelry Making, Road Biking, Lacemaking",women (31).jpg
Elizabeth,Velazquez,8/24/1974,5990 Tristique St.,Huntsville,AL,35886,1 (920) 427-1954,"Comic Book Collecting, Meteorology, Gymnastics, Lapidary, Rugby",women (28).jpg
Ginger,Vincent,6/5/1932,915 Amet Rd.,Flint,Michigan,49513,1 (785) 798-7506,"Dowsing, Hiking/Backpacking, Mineral Collecting, Hooping, Martial Arts",women (78).jpg
Sebastian,Vinson,3/12/1931,"366 Purus, Street",Provo,Utah,20082,1 (682) 369-8013,"Genealogy, Orienteering, Cheerleading, Roller Skating",men (41).jpg
Gannon,Walls,6/16/1979,5862 Vivamus St.,San Francisco,California,93752,1 (536) 890-8893,"Rock Climbing, Shooting Sport, Auto Racing",men (84).jpg
Jason,Walls,7/3/1970,492 Ipsum St.,Lansing,MI,37783,1 (190) 427-3676,"Knife Making, Graffiti, Gongoozling, Blacksmithing, Dance",women (14).jpg
Kylee,Walters,1/4/1968,Ap #544 Gravida Road,Reno,Nevada,91725,1 (928) 395-3295,"Dowsing, Coffee Roasting, Skateboarding, Breakdancing",men (72).jpg
Valentine,Warner,4/5/1937,"P.O. Box 393, 6203 Molestie Rd.",Rock Springs,WY,63772,1 (697) 652-9257,"Book Collecting, Woodworking, Triathlon",men (37).jpg
Fuller,Warren,1/30/1947,Ap #675 Mauris Road,South Portland,ME,24457,1 (572) 977-1311,"Computer Programming, Graffiti, Air Sports",men (13).jpg
Shana,Wells,11/1/1972,Ap #251 Iaculis Avenue,Knoxville,Tennessee,70480,1 (418) 638-9609,"Embroidery, Wikipedia Editing , Quilling, Flag Football, Dowsing, Hiking/Backpacking",women (12).jpg
